ZINC_ID	MWT	LogP	Desolv_apolar	Desolv_polar	HBD	HBA	tPSA	Charge	NRB	SMILES
ZINC00117329	263.337	2.97	-0.57	-12.14	1	4	49	0	4	CCN1C(=O)O[C@@]([C@]1(C)O)(C)CCc2ccccc2
ZINC00117330	341.238	4.47	1.29	-9.78	1	4	55	0	5	CCC[C@H](C)NC(=O)c1c(onc1c2c(cccc2Cl)Cl)C
ZINC00117331	252.26	1.33	-0.22	-46.67	3	4	55	1	6	CC(C)[NH2+]C[C@@H](Cn1ccc(n1)C(F)(F)F)O
ZINC00117334	263.337	2.97	-0.59	-13.12	1	4	49	0	4	CCN1C(=O)O[C@@]([C@@]1(C)O)(C)CCc2ccccc2
ZINC00117335	264.271	1.31	0.46	-44.17	2	4	42	1	5	c1cn(nc1C(F)(F)F)C[C@@H](C[NH+]2CCCC2)O
ZINC00117336	279.336	1.97	-3.6	-17.04	2	5	69	0	5	C[C@]1([C@](N(C(=O)O1)CCO)(C)O)CCc2ccccc2
ZINC00117338	222.607	0.86	5.37	-67.16	1	4	73	-1	1	c1cc2c(cc1Cl)c(=O)c(c[nH]2)C(=O)[O-]
ZINC00117339	279.336	1.97	-3.62	-16.31	2	5	69	0	5	C[C@@]1([C@](N(C(=O)O1)CCO)(C)O)CCc2ccccc2
ZINC00117340	264.271	1.31	1.16	-44.47	2	4	42	1	5	c1cn(nc1C(F)(F)F)C[C@H](C[NH+]2CCCC2)O
ZINC00117341	307.354	0.94	0.1	-18.12	1	8	90	0	5	CCC[C@@H](C)NC(=O)Cn1cnc2c1c(=O)n(c(=O)n2C)C
ZINC00117342	279.336	1.97	-3.45	-16.35	2	5	69	0	5	C[C@]1([C@@](N(C(=O)O1)CCO)(C)O)CCc2ccccc2
ZINC00117347	279.336	1.97	-3.46	-17.1	2	5	69	0	5	C[C@@]1([C@@](N(C(=O)O1)CCO)(C)O)CCc2ccccc2
ZINC00117348	350.269	4.05	-2.28	-60.98	3	3	42	1	6	c1ccc2c(c1)ccn2C[C@H](C[NH2+]Cc3ccc(c(c3)Cl)Cl)O
ZINC00117349	307.354	0.94	0.09	-18.24	1	8	90	0	5	CCC[C@H](C)NC(=O)Cn1cnc2c1c(=O)n(c(=O)n2C)C
ZINC00117350	218.188	0.24	4.15	-71.99	1	5	82	-1	2	COc1ccc2c(c1)c(=O)c(c[nH]2)C(=O)[O-]
ZINC00117351	326.396	2.83	-1.16	-11.66	1	5	62	0	5	C[C@]1([C@](N(C(=O)O1)Cc2ccccn2)(C)O)CCc3ccccc3
ZINC00117352	298.411	3.08	6.96	-10.39	3	3	51	0	5	c1ccc2c(c1)ccn2C[C@@H](CSc3ccccc3N)O
ZINC00117354	231.163	-0.27	4.69	-104.41	1	6	113	-2	2	c1cc2c(c(c1)C(=O)[O-])[nH]cc(c2=O)C(=O)[O-]
